name,category,unit,embodied_energy_mj_per_unit,co2_kg_per_unit,price_usd_per_unit,source_id,notes
Rammed Earth (wall),Masonry,m2,7.2,5.0,35.00,ICE_SAMPLE,Illustrative demo values; low-processing; local soil.
2x6 SPF Lumber,Wood Framing,lf,14.2,9.2,3.50,ICE_SAMPLE,Framing member; maintenance handled by finish assemblies.
CLT 5-ply (panel),Engineered Wood,m2,16.5,11.8,85.00,ICE_SAMPLE,Cross-laminated timber panel; sample value.
Steel Stud 3-5/8",Metal Framing,lf,22.4,18.3,4.20,ICE_SAMPLE,Cold-formed steel stud; higher transport/manufacture.
OSB 7/16",Sheet Goods,m2,12.0,8.5,15.50,ICE_SAMPLE,Oriented strand board sheathing.
Gypsum Board 1/2",Interior Finish,sheet,10.1,7.8,12.00,ICE_SAMPLE,Standard drywall; 4x8 sheet assumed.
EPS Insulation 4",Insulation,m2,13.2,10.7,18.00,ICE_SAMPLE,Expanded polystyrene; sample density.
Mineral Wool (batts),Insulation,m2,9.0,7.2,19.00,ICE_SAMPLE,Thermal/acoustic; sample R-value.
Hempcrete Infill,Alternative Materials,m2,5.5,3.2,42.00,ICE_SAMPLE,Plant-based binder/aggregate; illustrative only.
Concrete CMU 8",Masonry,block,25.0,18.3,2.10,ICE_SAMPLE,Concrete masonry unit; transport heavy.
ICF Block (generic),Formwork,m2,21.0,16.2,48.00,ICE_SAMPLE,Insulated concrete form; includes foam + web.
Red Oak T&G,Flooring,lf,15.4,10.1,6.00,ICE_SAMPLE,Hardwood flooring; kiln-dried.
Cedar Siding 1x8x10',Exterior Finish,lf,13.8,9.5,7.20,ICE_SAMPLE,Exterior finish; repaint cycles tracked at assembly.
Redwood Siding 1x8x10',Exterior Finish,lf,13.5,9.1,7.90,ICE_SAMPLE,Durable softwood; finish maintenance in assembly.
Fox Block ICF (unit),Formwork,unit,20.8,15.9,49.50,ICE_SAMPLE,Brand placeholder; demo only.
MgO Board,Sheet Goods,m2,12.7,9.4,23.00,ICE_SAMPLE,Magnesium oxide board; sample value.
Fiberglass Batt R-19,Insulation,m2,11.2,9.0,14.00,ICE_SAMPLE,Common cavity insulation; sample roll width.
Spray Foam (closed-cell),Insulation,m2,18.7,15.1,32.00,ICE_SAMPLE,High embodied energy; air seal benefits not modeled here.
Rebar #5,Steel,lf,24.0,19.0,1.10,ICE_SAMPLE,Deformed bar; 5/8 inch nominal; sample intensity.
Concrete (ready-mix 30 MPa),Concrete,m3,18.5,16.0,125.00,ICE_SAMPLE,Generic ready-mix; transport distance matters.
